file	classification	reason	first_marker
docs/faz7r/evidence/FAZ_7R_333_OFFLINE_READY_POS_HAZIRLIGI_REAL_IMPLEMENTATION_AUDIT.md	INVALID_PARTIAL_PASS	PASS evidence contains forbidden partial/dry-run/disabled marker	70:333.7 conflict preview function IMPLEMENTED_OR_PRESENT / OK ✅
docs/faz7r/evidence/FAZ_7R_334_FIX_V2_CACHE_STRATEGY_MARKER_REAL_IMPLEMENTATION_AUDIT.md	INVALID_PARTIAL_PASS	PASS evidence contains forbidden partial/dry-run/disabled marker	78:334.3 Service worker placeholder aggregate gate IMPLEMENTED_OR_PRESENT / OK ✅
docs/faz7r/evidence/FAZ_7R_334_MOBILE_READY_PWA_YUZEYI_REAL_IMPLEMENTATION_AUDIT.md	INVALID_PARTIAL_PASS	PASS evidence contains forbidden partial/dry-run/disabled marker	55:334 PWA 192 icon placeholder IMPLEMENTED_OR_PRESENT / OK ✅
docs/faz7r/evidence/FAZ_7R_335_FIX_V2_MARKET_DOMAIN_ISOLATION_REAL_IMPLEMENTATION_AUDIT.md	OLD_PASS_NO_FORBIDDEN_MARKER_FOUND	PASS evidence has no forbidden marker by scanner	-
docs/faz7r/evidence/FAZ_7R_335_ISLETME_MAGAZA_VITRINI_REAL_IMPLEMENTATION_AUDIT.md	INVALID_PARTIAL_PASS	PASS evidence contains forbidden partial/dry-run/disabled marker	92:335 real order disabled runtime IMPLEMENTED_OR_PRESENT / OK ✅
docs/faz7r/evidence/FAZ_7R_336_URUN_LISTELEME_EKRANI_REAL_IMPLEMENTATION_AUDIT.md	INVALID_PARTIAL_PASS	PASS evidence contains forbidden partial/dry-run/disabled marker	72:336.8 quick preview payload function IMPLEMENTED_OR_PRESENT / OK ✅
docs/faz7r/evidence/FAZ_7R_337_MARKETPLACE_KESIF_EKRANI_REAL_IMPLEMENTATION_AUDIT.md	INVALID_PARTIAL_PASS	PASS evidence contains forbidden partial/dry-run/disabled marker	72:337.9 store quick preview function IMPLEMENTED_OR_PRESENT / OK ✅
docs/faz7r/evidence/FAZ_7R_338_SIPARIS_EKRANI_REAL_IMPLEMENTATION_AUDIT.md	INVALID_PARTIAL_PASS	PASS evidence contains forbidden partial/dry-run/disabled marker	71:338.9 submit disabled guard function IMPLEMENTED_OR_PRESENT / OK ✅
docs/faz7r/evidence/FAZ_7R_339_SATICI_YONETIM_EKRANI_REAL_IMPLEMENTATION_AUDIT.md	INVALID_PARTIAL_PASS	PASS evidence contains forbidden partial/dry-run/disabled marker	69:339 disabled seller action function IMPLEMENTED_OR_PRESENT / OK ✅
docs/faz7r/evidence/FAZ_7R_340_SON_MUSTERI_ALISVERIS_YUZEYI_REAL_IMPLEMENTATION_AUDIT.md	INVALID_PARTIAL_PASS	PASS evidence contains forbidden partial/dry-run/disabled marker	69:340 disabled shopping action function IMPLEMENTED_OR_PRESENT / OK ✅
docs/faz7r/evidence/FAZ_7R_341_FIX_V2_PANEL_NGINX_TARGET_REAL_IMPLEMENTATION_AUDIT.md	OLD_PASS_NO_FORBIDDEN_MARKER_FOUND	PASS evidence has no forbidden marker by scanner	-
docs/faz7r/evidence/FAZ_7R_341_PAKET_ABONELIK_EKRANI_REAL_IMPLEMENTATION_AUDIT.md	INVALID_PARTIAL_PASS	PASS evidence contains forbidden partial/dry-run/disabled marker	69:341.12 entitlement preview function IMPLEMENTED_OR_PRESENT / OK ✅
