rank	schemaname	table_name	index_name	idx_scan	idx_tup_read	idx_tup_fetch	index_size_bytes	is_primary	is_unique	usage_status
63	public	erp_ledger_balances	ix_erp_ledger_balances_tenant_account	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
64	public	erp_ledger_balances	ix_erp_ledger_balances_tenant_cost_center	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
65	public	erp_ledger_balances	ix_erp_ledger_balances_tenant_customer	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
66	public	erp_ledger_balances	ix_erp_ledger_balances_tenant_fiscal	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
67	public	erp_ledger_balances	ix_erp_ledger_balances_tenant_party	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
68	public	erp_ledger_balances	ix_erp_ledger_balances_tenant_vendor	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
69	public	erp_payment_transactions	ix_erp_payment_transactions_tenant_bank	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
70	public	erp_payment_transactions	ix_erp_payment_transactions_tenant_cash	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
71	public	erp_payment_transactions	ix_erp_payment_transactions_tenant_customer	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
72	public	erp_payment_transactions	ix_erp_payment_transactions_tenant_direction	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
73	public	erp_payment_transactions	ix_erp_payment_transactions_tenant_journal	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
74	public	erp_payment_transactions	ix_erp_payment_transactions_tenant_method	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
75	public	erp_payment_transactions	ix_erp_payment_transactions_tenant_party	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
76	public	erp_payment_transactions	ix_erp_payment_transactions_tenant_source	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
77	public	erp_payment_transactions	ix_erp_payment_transactions_tenant_type	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
78	public	erp_payment_transactions	ix_erp_payment_transactions_tenant_vendor	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
79	public	erp_product_categories	ix_erp_product_categories_tenant_parent	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
80	public	erp_product_categories	ix_erp_product_categories_tenant_status	0	0	0	16384	false	false	UNUSED_NON_UNIQUE_REVIEW_ONLY
