path	type	category	risk	retention_policy	size_bytes	age_days	note
backups/db/logical/phase4_14_2_2_20260427_135149/pg_restore_error_sanitized.txt	file	db_backup_candidate	HIGH	review_db_dump	61	1	db_backup_or_volume_review_no_restore
backups/db/logical/phase4_14_2_2_20260427_135149/pg_restore_list.txt	file	db_backup_candidate	HIGH	review_db_dump	91779	1	db_backup_or_volume_review_no_restore
backups/db/logical/phase4_14_2_2_20260427_135149/pix2pi_schema_only.dump	file	db_backup_candidate	HIGH	review_db_dump	556580	1	db_backup_or_volume_review_no_restore
backups/db/logical/phase4_14_2_2_20260427_135149/pix2pi_schema_only.dump.sha256	file	backup_candidate	MEDIUM	review_old_backup	141	1	backup_retention_review_no_delete
backups/db/logical/phase4_14_2_2_20260427_135150	dir	backup_candidate	MEDIUM	review_old_backup	-1	1	backup_retention_review_no_delete
backups/db/logical/phase4_14_2_2_20260427_135150/pg_dump_error_sanitized.txt	file	db_backup_candidate	HIGH	review_db_dump	180	1	db_backup_or_volume_review_no_restore
backups/db/logical/phase4_14_2_2_20260427_135150/pg_restore_error_sanitized.txt	file	db_backup_candidate	HIGH	review_db_dump	61	1	db_backup_or_volume_review_no_restore
backups/db/logical/phase4_14_2_2_20260427_135150/pg_restore_list.txt	file	db_backup_candidate	HIGH	review_db_dump	91779	1	db_backup_or_volume_review_no_restore
backups/db/logical/phase4_14_2_2_20260427_135150/pix2pi_schema_only.dump	file	db_backup_candidate	HIGH	review_db_dump	556580	1	db_backup_or_volume_review_no_restore
backups/db/logical/phase4_14_2_2_20260427_135150/pix2pi_schema_only.dump.sha256	file	backup_candidate	MEDIUM	review_old_backup	141	1	backup_retention_review_no_delete
backups/db/logical/phase4_14_2_2_20260427_163443	dir	backup_candidate	MEDIUM	review_old_backup	-1	1	backup_retention_review_no_delete
backups/db/logical/phase4_14_2_2_20260427_163443/pg_dump_error_sanitized.txt	file	db_backup_candidate	HIGH	review_db_dump	180	1	db_backup_or_volume_review_no_restore
backups/db/logical/phase4_14_2_2_20260427_163443/pg_restore_error_sanitized.txt	file	db_backup_candidate	HIGH	review_db_dump	61	1	db_backup_or_volume_review_no_restore
backups/db/logical/phase4_14_2_2_20260427_163443/pg_restore_list.txt	file	db_backup_candidate	HIGH	review_db_dump	91779	1	db_backup_or_volume_review_no_restore
backups/db/logical/phase4_14_2_2_20260427_163443/pix2pi_schema_only.dump	file	db_backup_candidate	HIGH	review_db_dump	556580	1	db_backup_or_volume_review_no_restore
backups/db/logical/phase4_14_2_2_20260427_163443/pix2pi_schema_only.dump.sha256	file	backup_candidate	MEDIUM	review_old_backup	141	1	backup_retention_review_no_delete
backups/db/logical/phase4_14_2_2_20260427_175809	dir	backup_candidate	MEDIUM	review_old_backup	-1	1	backup_retention_review_no_delete
backups/db/logical/phase4_14_2_2_20260427_175809/pg_dump_error_sanitized.txt	file	db_backup_candidate	HIGH	review_db_dump	180	1	db_backup_or_volume_review_no_restore
backups/db/logical/phase4_14_2_2_20260427_175809/pg_restore_error_sanitized.txt	file	db_backup_candidate	HIGH	review_db_dump	61	1	db_backup_or_volume_review_no_restore
backups/db/logical/phase4_14_2_2_20260427_175809/pg_restore_list.txt	file	db_backup_candidate	HIGH	review_db_dump	91876	1	db_backup_or_volume_review_no_restore
backups/db/logical/phase4_14_2_2_20260427_175809/pix2pi_schema_only.dump	file	db_backup_candidate	HIGH	review_db_dump	557077	1	db_backup_or_volume_review_no_restore
backups/db/logical/phase4_14_2_2_20260427_175809/pix2pi_schema_only.dump.sha256	file	backup_candidate	MEDIUM	review_old_backup	141	1	backup_retention_review_no_delete
backups/db/logical/phase4_14_2_2_20260427_180144	dir	backup_candidate	MEDIUM	review_old_backup	-1	1	backup_retention_review_no_delete
backups/db/logical/phase4_14_2_2_20260427_180144/pg_dump_error_sanitized.txt	file	db_backup_candidate	HIGH	review_db_dump	180	1	db_backup_or_volume_review_no_restore
backups/db/logical/phase4_14_2_2_20260427_180144/pg_restore_error_sanitized.txt	file	db_backup_candidate	HIGH	review_db_dump	61	1	db_backup_or_volume_review_no_restore
backups/db/logical/phase4_14_2_2_20260427_180144/pg_restore_list.txt	file	db_backup_candidate	HIGH	review_db_dump	93428	1	db_backup_or_volume_review_no_restore
backups/db/logical/phase4_14_2_2_20260427_180144/pix2pi_schema_only.dump	file	db_backup_candidate	HIGH	review_db_dump	567611	1	db_backup_or_volume_review_no_restore
backups/db/logical/phase4_14_2_2_20260427_180144/pix2pi_schema_only.dump.sha256	file	backup_candidate	MEDIUM	review_old_backup	141	1	backup_retention_review_no_delete
backups/db/observability_apply	dir	backup_candidate	MEDIUM	review_old_backup	-1	1	backup_retention_review_no_delete
backups/db/observability_apply/phase4_14_3_4_20260427_163441	dir	backup_candidate	MEDIUM	review_old_backup	-1	1	backup_retention_review_no_delete
backups/db/observability_apply/phase4_14_3_4_20260427_163442	dir	backup_candidate	MEDIUM	review_old_backup	-1	1	backup_retention_review_no_delete
backups/db/observability_apply/phase4_14_3_4_20260427_163442/postgresql.auto.conf.after	file	db_backup_candidate	HIGH	review_db_dump	290	1	db_backup_or_volume_review_no_restore
backups/db/observability_apply/phase4_14_3_4_20260427_163442/postgresql.auto.conf.before	file	db_backup_candidate	HIGH	review_db_dump	181	1	db_backup_or_volume_review_no_restore
backups/db/observability_apply/phase4_14_3_4_20260427_163442/postgresql.conf.before	file	db_backup_candidate	HIGH	review_db_dump	29950	59	db_backup_or_volume_review_no_restore
backups/db/restore_drills	dir	backup_candidate	MEDIUM	review_old_backup	-1	1	backup_retention_review_no_delete
backups/db/restore_drills/phase4_14_2_4_20260427_135821	dir	backup_candidate	MEDIUM	review_old_backup	-1	1	backup_retention_review_no_delete
backups/db/restore_drills/phase4_14_2_4_20260427_135821/pg_restore_stderr_raw.txt	file	db_backup_candidate	HIGH	review_db_dump	0	1	db_backup_or_volume_review_no_restore
backups/db/restore_drills/phase4_14_2_4_20260427_135821/pg_restore_stdout.txt	file	db_backup_candidate	HIGH	review_db_dump	0	1	db_backup_or_volume_review_no_restore
backups/db/restore_drills/phase4_14_2_4_20260427_135821/sandbox_sql_evidence.txt	file	backup_candidate	MEDIUM	review_old_backup	144	1	backup_retention_review_no_delete
backups/event_bus_lifecycle_sync	dir	backup_candidate	MEDIUM	review_old_backup	-1	8	backup_retention_review_no_delete
backups/event_bus_lifecycle_sync/event_bus_service.go.retryfix_20260416_194513	file	backup_candidate	MEDIUM	review_old_backup	4716	12	backup_retention_review_no_delete
backups/event_bus_lifecycle_sync/event_bus_store_lifecycle_test_main.go.retryfix_20260416_194710	file	backup_candidate	MEDIUM	review_old_backup	3204	12	backup_retention_review_no_delete
backups/event_bus_lifecycle_sync/event_bus_store_lifecycle_test_main.go.retryfix_20260416_194728	file	backup_candidate	MEDIUM	review_old_backup	3605	12	backup_retention_review_no_delete
backups/event_concurrency_safety	dir	backup_candidate	MEDIUM	review_old_backup	-1	8	backup_retention_review_no_delete
backups/event_idempotency	dir	backup_candidate	MEDIUM	review_old_backup	-1	8	backup_retention_review_no_delete
backups/event_metadata_standard	dir	backup_candidate	MEDIUM	review_old_backup	-1	8	backup_retention_review_no_delete
