path	type	category	risk	size_bytes	note
docs/phase4/14_3_2_db_observability_enable_gate_standard.md	file	generated_report	LOW	968	phase4_evidence_keep
docs/phase4/14_3_3_db_observability_apply_readiness_report.md	file	generated_report	LOW	2764	phase4_evidence_keep
docs/phase4/14_3_3_db_observability_apply_readiness_standard.md	file	generated_report	LOW	1069	phase4_evidence_keep
docs/phase4/14_3_3_db_observability_config_patch_candidate.sh	file	generated_report	LOW	1692	phase4_evidence_keep
docs/phase4/14_3_3_db_observability_rollback_plan.sh	file	generated_report	LOW	1121	phase4_evidence_keep
docs/phase4/14_3_4_db_observability_controlled_apply_report.md	file	generated_report	LOW	2508	phase4_evidence_keep
docs/phase4/14_3_4_db_observability_controlled_apply_standard.md	file	generated_report	LOW	1126	phase4_evidence_keep
docs/phase4/14_3_5_db_observability_final_baseline_report.md	file	generated_report	LOW	1546	phase4_evidence_keep
docs/phase4/14_3_5_db_observability_final_baseline_standard.md	file	generated_report	LOW	977	phase4_evidence_keep
docs/phase4/14_3_final_db_observability_closure_report.md	file	generated_report	LOW	644	phase4_evidence_keep
docs/phase4/14_3_import_staging_tables_inventory.tsv	file	generated_report	LOW	727	phase4_evidence_keep
docs/phase4/14_3_import_staging_tables_matrix.tsv	file	generated_report	LOW	581	phase4_evidence_keep
docs/phase4/14_3_import_staging_tables_report.md	file	generated_report	LOW	4226	phase4_evidence_keep
docs/phase4/14_3_import_staging_tables_standard.md	file	generated_report	LOW	1453	phase4_evidence_keep
docs/phase4/14_4_1_query_performance_baseline_report.md	file	generated_report	LOW	2060	phase4_evidence_keep
docs/phase4/14_4_1_query_performance_baseline_standard.md	file	generated_report	LOW	1156	phase4_evidence_keep
docs/phase4/14_4_1_query_performance_top_queries.tsv	file	generated_report	LOW	2163	phase4_evidence_keep
docs/phase4/14_4_2_index_usage_baseline_report.md	file	generated_report	LOW	2328	phase4_evidence_keep
docs/phase4/14_4_2_index_usage_baseline_standard.md	file	generated_report	LOW	1070	phase4_evidence_keep
docs/phase4/14_4_2_index_usage_metrics.tsv	file	generated_report	LOW	9748	phase4_evidence_keep
docs/phase4/14_4_2_table_scan_metrics.tsv	file	generated_report	LOW	5181	phase4_evidence_keep
docs/phase4/14_4_3_table_vacuum_metrics.tsv	file	generated_report	LOW	9079	phase4_evidence_keep
docs/phase4/14_4_3_vacuum_bloat_readiness_report.md	file	generated_report	LOW	2137	phase4_evidence_keep
docs/phase4/14_4_3_vacuum_bloat_readiness_standard.md	file	generated_report	LOW	1053	phase4_evidence_keep
docs/phase4/14_4_4_connection_state_metrics.tsv	file	generated_report	LOW	79	phase4_evidence_keep
docs/phase4/14_4_4_db_health_baseline_report.md	file	generated_report	LOW	2217	phase4_evidence_keep
docs/phase4/14_4_4_db_health_baseline_standard.md	file	generated_report	LOW	1063	phase4_evidence_keep
docs/phase4/14_4_4_lock_wait_metrics.tsv	file	generated_report	LOW	97	phase4_evidence_keep
docs/phase4/14_4_5_db_performance_final_closure_report.md	file	generated_report	LOW	2145	phase4_evidence_keep
docs/phase4/14_4_5_db_performance_final_closure_standard.md	file	generated_report	LOW	1007	phase4_evidence_keep
docs/phase4/14_4_backfill_rebuild_candidate_execution.sh	file	generated_report	LOW	780	phase4_evidence_keep
docs/phase4/14_4_backfill_rebuild_manifest.tsv	file	generated_report	LOW	2417	phase4_evidence_keep
docs/phase4/14_4_backfill_rebuild_matrix.tsv	file	generated_report	LOW	601	phase4_evidence_keep
