path	type	category	permission_category	risk	mode	group_readable	world_readable	executable	key_name_count	secret_key_name_count	dsn_key_name_count	note
internal/platform/auth/jwt.go.ok_20260226_074623	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	0	0	0	secret_like_path_only_value_not_printed
internal/platform/auth/jwt.go.ok_20260226_080842	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	0	0	0	secret_like_path_only_value_not_printed
internal/platform/auth/jwt.go.ok_20260226_080854	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	0	0	0	secret_like_path_only_value_not_printed
internal/platform/auth/jwt.go.ok_20260226_081334	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	0	0	0	secret_like_path_only_value_not_printed
internal/platform/auth/jwt.go.ok_20260226_081344	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	0	0	0	secret_like_path_only_value_not_printed
internal/platform/auth/jwt.go.ok_claims_rebuild_20260227_211855	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	6	0	0	secret_like_path_only_value_not_printed
internal/platform/auth/jwt.go.ok_clean_1772292742	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	7	0	0	secret_like_path_only_value_not_printed
internal/platform/auth/jwt.go.ok_devtokenfix_20260227_212316	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	6	0	0	secret_like_path_only_value_not_printed
internal/platform/auth/jwt.go.ok_final_devtoken_fix_20260227_215650	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	4	0	0	secret_like_path_only_value_not_printed
internal/platform/auth/jwt.go.ok_final_jwtmw_20260228_074024	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	2	0	0	secret_like_path_only_value_not_printed
internal/platform/auth/jwt.go.ok_final_norm_1772292825	file	potential_secret_path	world_readable_candidate	HIGH	0644	YES	YES	NO	8	0	0	secret_like_path_only_value_not_printed
