config_path	category	risk	tempo_marker_count	otel_marker_count	trace_id_marker_count	span_id_marker_count	request_id_marker_count	tenant_marker_count	service_marker_count	route_marker_count	redaction_marker_count	note
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_2c_gateway_live_negative_final_muhur_20260426_230410/logs/valid_payload.json	trace_pipeline_config_candidate	MEDIUM	0	0	0	0	2	1	0	0	0	config_marker_metadata_only_no_body_printed,trace_id_marker_missing_review,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_2c_gateway_live_negative_final_muhur_20260426_230410/logs/wrong_method_response.json	trace_pipeline_config_candidate	MEDIUM	0	0	0	0	2	0	0	8	0	config_marker_metadata_only_no_body_printed,trace_id_marker_missing_review,tenant_marker_missing_review,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_2c_gateway_live_negative_final_muhur_20260426_230410/make_gateway_test_token.go	trace_pipeline_config_candidate	MEDIUM	0	0	0	0	0	3	0	1	7	config_marker_metadata_only_no_body_printed,trace_id_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_2d_gateway_live_final_muhur_20260426_230835/logs/health_live.json	trace_pipeline_config_candidate	MEDIUM	0	0	0	0	2	0	0	0	0	config_marker_metadata_only_no_body_printed,trace_id_marker_missing_review,tenant_marker_missing_review,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_2d_gateway_live_final_muhur_20260426_230835/logs/health_ready.json	trace_pipeline_config_candidate	MEDIUM	0	0	0	0	2	0	0	0	0	config_marker_metadata_only_no_body_printed,trace_id_marker_missing_review,tenant_marker_missing_review,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_3a_fix_gateway_route_catalog_visibility_20260426_231335/logs/health_live.json	trace_pipeline_config_candidate	MEDIUM	0	0	0	0	2	0	0	0	0	config_marker_metadata_only_no_body_printed,trace_id_marker_missing_review,tenant_marker_missing_review,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_3a_fix_gateway_route_catalog_visibility_20260426_231335/logs/health_ready.json	trace_pipeline_config_candidate	MEDIUM	0	0	0	0	2	0	0	0	0	config_marker_metadata_only_no_body_printed,trace_id_marker_missing_review,tenant_marker_missing_review,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_3a_fix_gateway_route_catalog_visibility_20260426_231335/logs/internal_policy_after_fix.json	trace_pipeline_config_candidate	MEDIUM	0	0	0	0	2	0	0	0	0	config_marker_metadata_only_no_body_printed,trace_id_marker_missing_review,tenant_marker_missing_review,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_3a_fix_gateway_route_catalog_visibility_20260426_231335/logs/internal_routes_after_fix.json	trace_pipeline_config_candidate	MEDIUM	0	0	0	0	2	0	0	24	0	config_marker_metadata_only_no_body_printed,trace_id_marker_missing_review,tenant_marker_missing_review,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_3a_fix_gateway_route_catalog_visibility_20260426_231335/logs/missing_bearer_after_fix.json	trace_pipeline_config_candidate	MEDIUM	0	0	0	0	2	0	0	0	0	config_marker_metadata_only_no_body_printed,trace_id_marker_missing_review,tenant_marker_missing_review,redaction_marker_missing_review
