netid	local_address	port	previous_expected_service	bind_scope	port_policy	recommended_surface	risk	note
tcp	*:5860	5860	unknown	public_or_all_interfaces	unknown_public_should_review	close_or_place_behind_reverse_proxy	HIGH	evidence_only_no_firewall_change
tcp	*:5870	5870	unknown	public_or_all_interfaces	unknown_public_should_review	close_or_place_behind_reverse_proxy	HIGH	evidence_only_no_firewall_change
tcp	[::]:3001	3001	unknown	public_or_all_interfaces	internal_should_not_public	private_network_or_loopback_or_reverse_proxy	HIGH	evidence_only_no_firewall_change
tcp	[::]:3200	3200	unknown	public_or_all_interfaces	internal_should_not_public	private_network_or_loopback_or_reverse_proxy	HIGH	evidence_only_no_firewall_change
tcp	[::]:3100	3100	unknown	public_or_all_interfaces	internal_should_not_public	private_network_or_loopback_or_reverse_proxy	HIGH	evidence_only_no_firewall_change
tcp	[::]:22	22	unknown	public_or_all_interfaces	management_ssh_controlled	allowlist_key_auth_fail2ban	MEDIUM	evidence_only_no_firewall_change
tcp	[::]:8222	8222	unknown	public_or_all_interfaces	internal_should_not_public	private_network_or_loopback_or_reverse_proxy	HIGH	evidence_only_no_firewall_change
tcp	[::]:9090	9090	prometheus	public_or_all_interfaces	internal_should_not_public	private_network_or_loopback_or_reverse_proxy	HIGH	evidence_only_no_firewall_change
tcp	[::]:9100	9100	node-exporter	public_or_all_interfaces	internal_should_not_public	private_network_or_loopback_or_reverse_proxy	HIGH	evidence_only_no_firewall_change
tcp	[::]:9101	9101	unknown	public_or_all_interfaces	internal_should_not_public	private_network_or_loopback_or_reverse_proxy	HIGH	evidence_only_no_firewall_change
tcp	[::]:9002	9002	unknown	public_or_all_interfaces	internal_should_not_public	private_network_or_loopback_or_reverse_proxy	HIGH	evidence_only_no_firewall_change
tcp	*:9012	9012	unknown	public_or_all_interfaces	unknown_public_should_review	close_or_place_behind_reverse_proxy	HIGH	evidence_only_no_firewall_change
