config_path	category	risk	loki_marker_count	promtail_marker_count	log_agent_marker_count	docker_logging_marker_count	tenant_label_marker_count	service_label_marker_count	trace_label_marker_count	redaction_marker_count	note
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_2d_gateway_live_final_muhur_20260426_230835/logs/health_ready.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_3a_fix_gateway_route_catalog_visibility_20260426_231335/logs/health_live.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_3a_fix_gateway_route_catalog_visibility_20260426_231335/logs/health_ready.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_3a_fix_gateway_route_catalog_visibility_20260426_231335/logs/internal_policy_after_fix.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_3a_fix_gateway_route_catalog_visibility_20260426_231335/logs/internal_routes_after_fix.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_3a_fix_gateway_route_catalog_visibility_20260426_231335/logs/missing_bearer_after_fix.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_3a_gateway_route_catalog_live_visibility_20260426_231043/logs/health_live.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_3a_gateway_route_catalog_live_visibility_20260426_231043/logs/health_ready.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_3a_gateway_route_catalog_live_visibility_20260426_231043/logs/internal_routes.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_3b_gateway_observability_log_visibility_20260426_232013/logs/health_live.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_3b_gateway_observability_log_visibility_20260426_232013/logs/health_ready.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_3b_gateway_observability_log_visibility_20260426_232013/logs/internal_routes.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_3b_gateway_observability_log_visibility_20260426_232013/logs/observability_payload.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	1	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_3b_gateway_observability_log_visibility_20260426_232013/logs/observability_response.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	1	0	1	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_3b_gateway_observability_log_visibility_20260426_232013/logs/post_health_live.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_3c_fix_gateway_observability_final_muhur_20260426_232602/logs/health_live.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_3c_fix_gateway_observability_final_muhur_20260426_232602/logs/health_ready.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_3c_fix_gateway_observability_final_muhur_20260426_232602/logs/internal_policy_final.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
/root/pix2pi/pix2pi-SaaS/backups/faz3_13_3c_fix_gateway_observability_final_muhur_20260426_232602/logs/internal_routes_final.json	log_pipeline_config_candidate	MEDIUM	0	0	0	0	0	0	2	0	config_marker_metadata_only_no_config_body_printed,redaction_marker_missing_review,tenant_label_marker_missing_review
